model,condition,full_words,answer_words,reasoning_words,reasoning_ratio,answer_sentences,ttr_answer,mattr_answer,bigram_repeat,connectors,connector_density,uncertainty,uncertainty_density,has_uncertainty,refusal_like,structure_intact,answer_empty,perception_failure,resp_chars
base_llama,clean,175.07784431137725,175.07784431137725,0.0,0.0,12.029940119760479,0.6045395402714743,0.75473960763639,0.13525293173721978,0.47904191616766467,0.3608088349120452,0.32335329341317365,0.21837051931074994,0.2155688622754491,0.2694610778443114,0.0,0.0,0.0,1061.868263473054
base_llama,glass_blur,171.4251497005988,171.4251497005988,0.0,0.0,10.706586826347305,0.5968636982173435,0.7538006394863064,0.13344469173162932,0.5029940119760479,0.41136188459205225,0.5868263473053892,0.5142469979868366,0.3473053892215569,0.2694610778443114,0.0,0.0,0.059880239520958084,1045.497005988024
base_llama,snow,167.76646706586826,167.76646706586826,0.0,0.0,10.736526946107784,0.5907038856057759,0.7564863535639156,0.12857978241895704,0.5868263473053892,0.4086266935725245,0.49101796407185627,0.3763726698531953,0.281437125748503,0.24550898203592814,0.0,0.0,0.005988023952095809,1023.8862275449102
base_llama,zoom_blur,168.67065868263472,168.67065868263472,0.0,0.0,12.221556886227544,0.5934673696835104,0.744416233156902,0.13630879183362918,0.6107784431137725,0.47384353188520095,0.6467065868263473,0.48025589024082743,0.33532934131736525,0.2155688622754491,0.0,0.0,0.023952095808383235,992.1377245508982
llava_cot,clean,211.79041916167665,96.25748502994011,115.53293413173652,0.49213963902868285,5.808383233532934,0.6873119534430677,0.787991535243097,0.07539415881721784,1.5568862275449102,0.665750541480692,0.2694610778443114,0.3713467983094037,0.20359281437125748,0.2634730538922156,0.7664670658682635,0.011976047904191617,0.011976047904191617,1324.5928143712574
llava_cot,glass_blur,229.36526946107784,100.20958083832335,129.1556886227545,0.5502611935192263,5.940119760479042,0.6695611871687895,0.7756329772666695,0.074525987818252,1.9580838323353293,0.7871175969572534,0.32335329341317365,0.34888046970767106,0.23353293413173654,0.20359281437125748,0.874251497005988,0.023952095808383235,0.03592814371257485,1438.185628742515
llava_cot,snow,238.2754491017964,108.1556886227545,130.11976047904193,0.5385361917373943,6.502994011976048,0.6682840542414255,0.7784768157213389,0.08326487900871087,1.7365269461077844,0.7170283755619512,0.2754491017964072,0.27929869298782034,0.2275449101796407,0.20958083832335328,0.8502994011976048,0.017964071856287425,0.017964071856287425,1504.2155688622754
llava_cot,zoom_blur,230.7005988023952,102.62275449101796,128.07185628742516,0.5382134058915191,6.053892215568863,0.6589948297940366,0.7713331894139633,0.07791281206555437,1.8083832335329342,0.7379593264162715,0.3592814371257485,0.4067217859177074,0.25748502994011974,0.17964071856287425,0.8682634730538922,0.017964071856287425,0.0,1511.556886227545
qwen2_5_vl,clean,218.21556886227546,218.21556886227546,0.0,0.0,17.143712574850298,0.6239933361093711,0.8081259821383694,0.08443202277739895,0.6347305389221557,0.38174097593960793,0.8023952095808383,0.4246681399715094,0.4431137724550898,0.041916167664670656,0.0,0.0,0.0,1404.2754491017963
qwen2_5_vl,glass_blur,225.50299401197606,225.50299401197606,0.0,0.0,17.65868263473054,0.6086133059793116,0.7974624881767758,0.08762339802926832,0.6706586826347305,0.36193302939931987,0.9880239520958084,0.48272842375539465,0.5389221556886228,0.023952095808383235,0.0,0.005988023952095809,0.0,1459.1197604790418
qwen2_5_vl,snow,226.79640718562874,226.79640718562874,0.0,0.0,17.976047904191617,0.6111203087196124,0.7992828788448629,0.09246983405228455,0.7425149700598802,0.3607654201352784,1.0,0.4451607634030517,0.49101796407185627,0.023952095808383235,0.0,0.0,0.0,1456.185628742515
qwen2_5_vl,zoom_blur,229.125748502994,229.125748502994,0.0,0.0,17.622754491017965,0.6050763461685083,0.8008099222094561,0.08772032649599283,0.7305389221556886,0.3530138020901264,1.1137724550898203,0.535297205218825,0.5808383233532934,0.011976047904191617,0.0,0.005988023952095809,0.0,1488.9760479041915
r1_onevision,clean,481.3832335329341,116.45508982035928,364.92814371257487,0.7696016736319259,8.784431137724551,0.7060803981833045,0.8094893454967177,0.052812240831175604,3.191616766467066,0.6910198930962625,0.25748502994011974,0.2423741280893291,0.20359281437125748,0.005988023952095809,1.0,0.017964071856287425,0.0,3016.5928143712576
r1_onevision,glass_blur,480.5748502994012,119.50299401197604,361.07185628742513,0.7609803527224568,9.1437125748503,0.6865585990794418,0.7933409607065314,0.05161369806715702,3.7964071856287425,0.8284538889089148,0.31137724550898205,0.30366679243024564,0.2215568862275449,0.005988023952095809,1.0,0.029940119760479042,0.017964071856287425,3004.604790419162
r1_onevision,snow,465.94610778443115,117.08982035928143,348.8562874251497,0.7585270617154681,8.910179640718562,0.7087699397606448,0.8101335647827129,0.05220602236464368,3.179640718562874,0.6988220226655021,0.23952095808383234,0.20597352355326817,0.20958083832335328,0.005988023952095809,1.0,0.011976047904191617,0.0,2926.0419161676646
r1_onevision,zoom_blur,493.50898203592817,122.36526946107784,371.1437125748503,0.749838063421875,9.095808383233534,0.699010448315232,0.8080204195382639,0.05556230098529269,3.053892215568862,0.6712775659395886,0.40718562874251496,0.30591198267164554,0.25748502994011974,0.005988023952095809,0.9940119760479041,0.005988023952095809,0.0,3077.8383233532936
